name,radius,dot_radius,derived_dot_mass,mass_out_log,luminosity_AGN_log,smbh_mass_log,smbh_min_log,smbh_max_log,lum_min_log,lum_max_log,mdot_min,mdot_max,mdot_log_g_s,mdot_log_g_s_min,mdot_log_g_s_max,ref,type,log_f_Edd,agn_type
IRASF11119_2,0.3,1000,204.06,7.77,46.03,7.98,7.74,8.19,45.82,46.17,95.45,426.34,28.11,27.78,28.43,Veil17,full,-0.06,Type 1
NGC6240,0.6,400,262.83,8.58,44.9,8.95,0.1,0.1,44.72,45.03,122.93,561.92,28.22,27.89,28.55,Fer13,full,-2.16,Type 2
IRAS23365,1.23,450,51.25,8.12,44.57,8.6,8.42,8.76,44.31,44.82,23.97,104.63,27.51,27.18,27.82,Cic14,full,-2.14,LINER
IRAS23365_1,0.1,100,346.48,8.53,44.57,8.6,8.42,8.76,44.31,44.82,169.7,740.75,28.34,28.03,28.67,G-A17,component,-2.14,LINER
IRAS23365_2,0.19,350,85.05,7.65,44.57,8.6,8.42,8.76,44.31,44.82,41.66,177.69,27.73,27.42,28.05,G-A17,component,-2.14,LINER
IRAS23365_3,0.45,470,208.77,8.28,44.57,8.6,8.42,8.76,44.31,44.82,102.25,426.26,28.12,27.81,28.43,G-A17,component,-2.14,LINER
IRAS23365_sum,0.2,215,740.89,8.81,44.57,8.6,8.42,8.76,44.31,44.82,456.83,1201.59,28.67,28.46,28.88,G-A17,full,-2.14,LINER
IRASF14378_1,0.27,600,107.07,7.67,43.99,7.99,7.84,8.12,0.1,0.1,51.25,223.7,27.83,27.51,28.15,G-A17,component,-2.11,LINER
IRASF14378_2,0.24,250,77.57,7.85,43.99,7.99,7.84,8.12,0.1,0.1,37.99,158.37,27.69,27.38,28,G-A17,component,-2.11,LINER
IRASF14378_sum,0.24,355,208.81,8.11,43.99,7.99,7.84,8.12,0.1,0.1,120.16,362.87,28.12,27.88,28.36,G-A17,full,-2.11,LINER
